,close,high,low,open,time,volumefrom,volumeto,timestamp
1262,9753.7,9772.8,9615.0,9625.5,1518696000,196.15,1902864.53,2018-02-15 21:00:00
1263,9680.2,9764.8,9621.8,9753.7,1518699600,241.36,2338229.31,2018-02-15 22:00:00
1264,9889.9,9918.8,9676.0,9680.2,1518703200,276.72,2714816.83,2018-02-15 23:00:00
1265,9851.5,9906.9,9802.0,9889.9,1518706800,215.31,2120669.33,2018-02-16 00:00:00
1266,9925.0,9930.0,9811.1,9851.5,1518710400,245.43,2423030.69,2018-02-16 01:00:00
1267,10110.0,10111.1,9875.0,9925.0,1518714000,949.75,9509694.31,2018-02-16 02:00:00
1268,10064.0,10247.0,10001.2,10110.0,1518717600,843.61,8551493.82,2018-02-16 03:00:00
1269,10145.0,10229.7,10061.6,10064.0,1518721200,498.06,5056491.37,2018-02-16 04:00:00
1270,10110.2,10165.7,10011.0,10145.0,1518724800,318.59,3213924.36,2018-02-16 05:00:00
1271,9867.0,10119.9,9845.4,10110.2,1518728400,706.6,7045851.9,2018-02-16 06:00:00
1272,10088.7,10124.9,9867.0,9867.0,1518732000,371.34,3722733.12,2018-02-16 07:00:00
1273,10037.0,10188.8,10023.6,10088.7,1518735600,357.76,3620253.38,2018-02-16 08:00:00
1274,10248.4,10274.0,10008.0,10037.0,1518739200,204.01,2067983.0,2018-02-16 09:00:00
1275,10301.9,10325.1,10111.4,10248.4,1518742800,427.6,4370006.92,2018-02-16 10:00:00
1276,10178.8,10303.0,10175.0,10301.9,1518746400,254.72,2606157.51,2018-02-16 11:00:00
1277,10146.7,10227.2,10050.0,10178.8,1518750000,369.15,3748002.39,2018-02-16 12:00:00
1278,9993.0,10146.7,9951.4,10146.7,1518753600,405.7,4071212.69,2018-02-16 13:00:00
1279,10100.0,10154.0,9985.6,9993.0,1518757200,219.36,2208120.82,2018-02-16 14:00:00
1280,9900.8,10100.1,9900.0,10100.0,1518760800,286.81,2865504.47,2018-02-16 15:00:00
1281,9793.3,9949.1,9792.8,9900.0,1518764400,440.13,4336375.21,2018-02-16 16:00:00
1282,9962.3,9999.0,9765.0,9793.3,1518768000,278.16,2750170.27,2018-02-16 17:00:00
1283,9893.0,10022.9,9893.0,9962.3,1518771600,181.15,1805136.54,2018-02-16 18:00:00
1284,9807.1,9900.0,9779.1,9893.0,1518775200,123.94,1219610.8,2018-02-16 19:00:00
1285,9830.9,9852.0,9689.0,9807.1,1518778800,332.69,3246481.85,2018-02-16 20:00:00
1286,9867.0,9888.0,9790.2,9830.9,1518782400,187.64,1845452.61,2018-02-16 21:00:00
1287,9862.2,9961.6,9850.0,9867.0,1518786000,322.06,3195755.02,2018-02-16 22:00:00
1288,10040.0,10100.0,9860.0,9862.2,1518789600,294.51,2947859.28,2018-02-16 23:00:00
1289,10056.2,10150.1,10031.1,10040.0,1518793200,405.37,4099279.88,2018-02-17 00:00:00
1290,10080.0,10176.9,10027.8,10056.2,1518796800,247.72,2504590.56,2018-02-17 01:00:00
1291,10095.0,10130.0,10045.6,10080.0,1518800400,188.36,1901482.02,2018-02-17 02:00:00
1292,9979.8,10095.8,9926.8,10095.0,1518804000,304.2,3036204.48,2018-02-17 03:00:00
1293,10052.0,10090.0,9940.7,9979.8,1518807600,130.59,1305655.57,2018-02-17 04:00:00
1294,10019.1,10098.8,9970.0,10052.0,1518811200,234.01,2347035.26,2018-02-17 05:00:00
1295,10082.6,10137.0,10006.5,10019.1,1518814800,139.15,1402925.53,2018-02-17 06:00:00
1296,10250.3,10269.0,10045.6,10082.6,1518818400,443.34,4518675.93,2018-02-17 07:00:00
